	Language	UNK Prop
0	Erzya	0.011236330802929472
1	Galician	0.0
2	Basque	0.0
3	Maghrebi_Arabic_French	0.0012352062507181433
4	Japanese	0.002154940614292519
5	Moksha	0.007614213197969543
6	Hindi	0.0
7	Naija	0.0
8	Finnish	0.001828710758914965
9	Croatian	9.601997215420808e-05
10	Buryat	0.0069605568445475635
11	Kirghiz	0.0005238344683080147
12	Maltese	0.008945905820548937
13	Estonian	0.0016038016038016037
14	Hebrew	0.0
15	Kazakh	0.007537688442211055
16	North_SÃ¡mi	0.000368819560453865
17	German	0.0
18	Turkish	0.0036331341837558535
19	Belarusian	0.0073470782549265295
20	Lithuanian	0.0072190044489213465
21	Greek	3.0703101013202333e-05
22	Slovak	0.01091617933723197
23	Wolof	0.0005209159060539487
24	Ukrainian	0.007458405048766495
25	Vietnamese	0.0007849978194505015
26	Turkish_German	0.0
27	Serbian	0.0005759815685898052
28	Danish	0.0
29	Telugu	0.0
30	Catalan	0.0
31	Spanish	0.00013853613484183792
32	Korean	0.0018605247963046129
33	French	0.0
34	Italian	0.0020972354623450904
35	Uyghur	0.14853606284218043
36	Arabic	0.0
37	Norwegian_(Nynorsk)	0.0002772579191793166
38	Urdu	0.0
39	Kurmanji	0.0
40	Welsh	0.0006568310428455942
41	Romanian	0.0014354303816264912
42	Dutch	0.00016966406515100103
43	Komi_Zyrian	0.16666666666666666
44	Chinese_(Simplified)	0.006515984524536754
45	Chinese_(Traditional)	0.0008654041946650376
46	Polish	0.0013294504937958977
47	Tamil	0.0001745733862872605
48	Hungarian	0.004267241379310345
49	Russian	0.000429553264604811
50	Persian_(Farsi)	0.0
51	Czech	0.00029243186337583345
52	Indonesian	0.001040642886049604
53	Latvian	0.0029201972329934416
54	Icelandic	0.0
55	Afrikaans	0.0
56	Portuguese	0.0
57	Slovenian	0.0008370068634562804
58	English	0.00037696729808689097
59	Irish	0.0008405287690074119
60	Swedish	0.0
61	Ligurian	0.0
62	Marathi	0.0
63	Norwegian_(Bokmal)	0.0002304147465437788
64	Bulgarian	0.0
65	Armenian	0.0021030106257378983
66	Latin	0.0
