	Language	Family	Script	#Classes	Majority Baseline Accuracy	Random Baseline Accuracy SGD	SGD Accuracy	SGD Balanced Accuracy	SGD Sensitivity	Random Baseline Accuracy MLP	MLP Accuracy	MLP Balanced Accuracy	MLP Sensitivity
0	Afrikaans	IE, Germanic	Latin	2	0.9207474226804124	0.911082474226804	0.9458762886597938	0.8371759350880665	0.0931484738928256	0.8402061855670103	0.9516752577319588	0.9075672867603404	0.0625765794054159
1	Armenian	IE, Armenian	Armenian	3	0.8441558441558441	0.8014842300556586	0.953617810760668	0.9495049878656174	0.3058970402094567	0.8033395176252319	0.953617810760668	0.9608174285388468	0.2868239904287968
2	Belarusian	IE, Slavic	Cyrillic	3	0.6233221476510067	0.5654362416107382	0.8825503355704698	0.8376106159286937	0.2754431659476869	0.5704697986577181	0.7701342281879194	0.5377704389432078	0.1596545879181218
3	Bulgarian	IE, Slavic	Cyrillic	3	0.7452600875060769	0.7068546426835197	0.8434613514827418	0.7751036682615631	0.1427490645328563	0.7000486144871172	0.8385999027710258	0.573676615781879	0.2603755323818119
45	Buryat	Mongolic	Cyrillic	2	0.6814814814814815	0.454320987654321	0.671604938271605	0.6609937888198758	0.0850818122747947	0.6765432098765433	0.5432098765432098	0.5950931677018634	0.1137840392226356
4	Catalan	IE, Romance	Latin	4	0.8331193838254172	0.8012409071459136	0.9687633718442448	0.925137936887915	0.2000307318339095	0.7415489944373128	0.9428754813863928	0.901649514244894	0.3394583894672661
5	Croatian	IE, Slavic	Latin	2	0.8448436048312171	0.8200681325487768	0.9804893155775782	0.6519530493876969	0.2457407582816178	0.8293589346546919	0.9646949519975224	0.6303930508491705	0.1978359247922462
6	Czech	IE, Slavic	Latin	3	0.7283274062846149	0.6942225849705591	0.9875823471112924	0.9784643204875438	0.3459807570402022	0.6799393692065527	0.9411181717483822	0.6527703808991276	0.2912613120258541
7	Danish	IE, Germanic	Latin	2	0.8176149649259548	0.8464536243180046	0.9742790335151988	0.9746023076397896	0.1768132049209654	0.8448947778643804	0.9820732657833204	0.982423265612656	0.1521820156586071
8	Dutch	IE, Germanic	Latin	2	0.9326710816777042	0.8785871964679912	0.9834437086092715	0.974634184308842	0.1975032399582266	0.8984547461368654	0.9757174392935982	0.9612157534246576	0.1780154579310722
9	English	IE, Germanic	Latin	2	0.8487147071217868	0.8504003371260008	0.9835651074589128	0.9822571511352264	0.1975140269088146	0.5853350189633375	0.9882005899705014	0.9869576287555532	0.1849785860412283
46	Erzya	Uralic, Mordvin	Cyrillic	2	0.7241620111731844	0.6773743016759777	0.9266759776536312	0.920374135663512	0.2067142734889592	0.6662011173184358	0.9217877094972068	0.9094191497430189	0.1736785663665221
10	Estonian	Uralic, Finnic	Latin	2	0.7684757505773672	0.7446593533487298	0.954243648960739	0.9564327533794594	0.2484521908978179	0.7209872979214781	0.9562644341801386	0.9599860467385034	0.2107094967097552
11	Finnish	 Uralic, Finnic	Latin	2	0.8507018290089323	0.7758400680561464	0.9400255210548704	0.9345393108699792	0.2441531363156863	0.7447894512973203	0.9557635048915356	0.9357924043403768	0.2575243682826176
12	French	IE, Romance	Latin	4	0.7667342799188641	0.7545638945233266	0.9432048681541582	0.8751192928858843	0.2075079278918948	0.6795131845841785	0.9168356997971604	0.646834253735874	0.2333971373882238
13	German	IE, Germanic	Latin	2	0.91754910678199	0.8726457036617896	0.9309271683776574	0.8551860478510321	0.1694994784798302	0.9064748201438848	0.9411122787163528	0.8829006780388573	0.1542897223789096
14	Greek	IE, Greek	Greek	2	0.7834691501746216	0.7508731082654249	0.9557625145518044	0.9533778098329126	0.1313713773974371	0.779976717112922	0.9685681024447031	0.9623211924510158	0.1439938486450327
15	Hebrew	Afro-Asiatic, Semitic	Hebrew	2	0.8681159420289855	0.7666666666666667	0.9637681159420288	0.9317706294461467	0.2094899527441432	0.8521739130434782	0.9695652173913044	0.9439464910030912	0.1835064132948392
16	Hindi	IE, Indic	Devanagari	3	0.9682634730538924	0.9964071856287424	1.0	1.0	0.1975444538526672	0.8461077844311378	0.8473053892215568	0.6649703138252757	0.1078190781857115
17	Hungarian	Uralic, Ugric	Latin	2	0.611049723756906	0.6751381215469613	0.9447513812154696	0.943351691581432	0.2089167717208295	0.6375690607734806	0.934806629834254	0.9369389134337992	0.1584858028817273
18	Icelandic	 IE, Germanic	Latin	2	0.8478632478632478	0.8427939876215739	0.9307987032124964	0.9288086758283668	0.1120381982595227	0.5606248157972296	0.9316239316239316	0.928543657116326	0.1010764224153345
19	Irish	IE, Celtic	Latin	3	0.7790821771611526	0.8143009605122732	0.8868729989327642	0.8875070505278636	0.1308140415680396	0.80042689434365	0.9082177161152616	0.9057523878598596	0.208148470888236
20	Italian	IE, Romance	Latin	4	0.716572504708098	0.6958568738229756	0.9340866290018832	0.8859600169300959	0.1789315276929357	0.5706214689265536	0.9227871939736346	0.7119164807904866	0.2996026861737422
21	Kazakh	 Turkic, Northwestern	Cyrillic	3	0.6433007985803016	0.6433007985803016	0.645075421472937	0.3947132998463006	0.1311796151177222	0.6228926353149956	0.6433007985803016	0.3535214669878011	0.1396649782794748
22	Kirghiz	Turkic, Northwestern	Cyrillic	3	0.6786271450858035	0.4414976599063963	0.7113884555382215	0.5324930494955683	0.1861553639295193	0.6193447737909517	0.3182527301092043	0.5042315042315043	-0.1753095016504522
48	Komi Zyrian	Uralic, Permic	Cyrillic	2	0.693609022556391	0.549812030075188	0.5629699248120301	0.4470988922568539	-0.0313222552231723	0.2922932330827067	0.6560150375939849	0.3333333333333333	0.0583283390775152
47	Kurmanji	 IE, Iranian	Latin	2	0.4846153846153846	0.5607692307692308	0.5969230769230769	0.3355188593707498	-0.0712303575104645	0.4846153846153846	0.6176923076923077	0.3446382831625714	-0.0348996241146107
23	Latin	IE, Italic	Latin	4	0.9606717687074828	0.9470663265306124	0.9532312925170068	0.5412497534800531	0.1408066845556075	0.9445153061224488	0.951530612244898	0.4798278041706406	0.1704020771959769
24	Latvian	IE, Baltic	Latin	3	0.5983852797596696	0.6676680435598948	0.8235073225685318	0.7510000004185439	0.1792062931802976	0.6205407435223432	0.8351483289523094	0.7617910268842424	0.1822868430063923
44	Ligurian	IE, Romance	Latin	3	0.6874391431353457	0.5881207400194742	0.7439143135345667	0.4620197081964708	0.102252373659354	0.6708860759493671	0.7273612463485881	0.4101749293407685	0.1387339065868184
25	Lithuanian	 IE, Baltic	Latin	3	0.4981631153563556	0.5356355620867009	0.8288023512123439	0.7274104014044512	0.214290088627059	0.4570168993387215	0.7913299044819986	0.5869762765087968	0.1685196518543017
26	Marathi	IE, Indic	Devanagari	3	0.8636363636363636	0.8636363636363636	0.9090909090909092	0.9166666666666666	0.2037337662337661	0.6818181818181818	0.9090909090909092	0.9166666666666666	0.2238230519480519
54	Moksha	Uralic, Mordvin	Cyrillic	2	0.6423487544483986	0.6352313167259787	0.7224199288256228	0.629070407040704	0.1004319770183939	0.5836298932384342	0.6619217081850534	0.5297029702970297	0.0303956037673827
53	Naija	Creole	Latin	2	0.9345794392523364	0.8785046728971962	1.0	1.0	0.0457839721254355	0.1869158878504672	0.8130841121495327	0.5	-0.1389716369793872
52	North SÃ¡mi	Uralic, Sami	Latin	2	0.8292011019283747	0.8271349862258953	0.9166666666666666	0.9153748006379584	0.1595238095238095	0.809228650137741	0.9173553719008264	0.9121531100478468	0.1464263009717555
27	Norwegian (Bokmal)	 IE, Germanic	Latin	2	0.9251661369546372	0.8919387460271598	0.9936434556486564	0.9932318429634036	0.1827244140681986	0.2970239815082346	0.9919098526437444	0.991156176183188	0.1442157993833828
28	Norwegian (Nynorsk)	IE, Germanic	Latin	2	0.9288417865253596	0.9242997728993188	0.9772899318697956	0.973037729355721	0.1800106358620452	0.9258137774413324	0.9663133989401969	0.97163179916318	0.1523223603094294
29	Persian (Farsi)	IE, Iranian	Arabic	3	0.9141435089174615	0.9220240564081296	0.9726254666113646	0.9775851696709076	0.2414862468315947	0.5031107424305268	0.9792617171298216	0.9825808991184096	0.3665473203063741
30	Polish	IE, Slavic	Latin	3	0.6532663316582915	0.6553821740280349	0.9333509653530812	0.8407711026584014	0.2923540953359548	0.5770960063475271	0.8624702459666754	0.6283296216714453	0.3241131916939535
31	Portuguese	 IE, Romance	Latin	5	0.7302974290035288	0.689800033607797	0.9168207024029574	0.7173236094578141	0.2268335974553295	0.0531003192740715	0.8506133422954125	0.5076810973832206	0.2838984134444295
32	Romanian	IE, Romance	Latin	4	0.8517397881996974	0.6989409984871406	0.8645990922844176	0.4708711889419231	0.1968093348720186	0.8267776096822995	0.8343419062027232	0.4355112835166472	0.2158660424438405
33	Russian	IE, Slavic	Cyrillic	3	0.6859342462295702	0.591847037294125	0.9353820912475548	0.7797040153217248	0.2754120933363078	0.6142487537073263	0.9393576071180664	0.7111852159903592	0.3088833335926945
34	Serbian	IE, Slavic	Latin	3	0.8489425981873112	0.8380664652567976	0.980060422960725	0.8645227286764251	0.293342972649894	0.8392749244712991	0.9758308157099698	0.6596083472299425	0.2989198622032716
35	Slovak	IE, Slavic	Latin	3	0.8497991967871485	0.691566265060241	0.9927710843373494	0.9925932998690528	0.3961739383439355	0.8224899598393575	0.9502008032128514	0.9345991561181434	0.4133496192705588
36	Slovenian	IE, Slavic	Latin	2	0.997991967871486	0.997991967871486	0.9995983935742973	0.99979035639413	0.248989164740086	0.997991967871486	0.997991967871486	0.9761904761904762	0.2193975177496401
37	Spanish	IE, Romance	Latin	4	0.6897155361050328	0.7052516411378555	0.9673960612691466	0.9474659006517372	0.2306779152451628	0.6306345733041575	0.9050328227571116	0.6833983301503155	0.1675236086113752
38	Swedish	IE, Germanic	Latin	2	0.8713190802743042	0.8676885841064945	0.9536103267446552	0.9237986257983732	0.1510987992257695	0.8087938684953611	0.9604679306171844	0.9304544545808476	0.1400029056000157
39	Tamil	 Dravidian	Tamil	3	0.7596153846153846	0.7355769230769231	0.966346153846154	0.9653045408215576	0.3433502766129884	0.6923076923076923	0.8076923076923077	0.6180996580361504	0.2053102646322985
40	Turkish	 Turkic, Southwestern	Latin	3	0.660217654171705	0.694074969770254	0.9262394195888756	0.8515389038498281	0.2922193140847449	0.6880290205562273	0.8633615477629988	0.6091768238827062	0.2297395710535332
51	Turkish German	Codeswitching	Latin	4	0.8396029258098223	0.7669801462904912	0.947753396029258	0.768358241422124	0.1811055007737323	0.7753396029258098	0.9158829676071056	0.5022829446713803	0.249896764594294
41	Ukrainian	 IE, Slavic	Cyrillic	3	0.6250968241673122	0.635166537567777	0.9287374128582494	0.8412001356692625	0.3008169537011967	0.5034856700232379	0.8993028659953525	0.8003896893279431	0.2880210525568922
42	Urdu	 IE, Indic	Arabic	3	0.9517625231910948	0.9962894248608536	0.9981447124304268	0.9965277777777778	0.2003600305447046	0.979591836734694	0.9814471243042672	0.9502487562189056	0.4875257410812494
50	Uyghur	 Turkic, Southeastern	Arabic	2	0.9470802919708028	0.9324817518248176	0.917883211678832	0.7039473684210527	0.2481833084842531	0.8613138686131386	0.916058394160584	0.7084076717216771	0.2251581037443206
43	Welsh	IE, Celtic	Latin	5	0.7571428571428571	0.8308270676691729	0.9406015037593984	0.7364343511567503	0.1835478497353467	0.6165413533834586	0.936842105263158	0.7279006317386486	0.3949248989726861
49	Wolof	 Niger-Congo, Northern Atlantic	Latin	3	0.9473684210526316	0.9962406015037594	0.9906015037593984	0.9813380106483556	0.1844962012948727	0.943609022556391	0.9981203007518796	0.9980842911877396	0.1713839303261889
